dataset,task,thermometer_type,thermometer_size,address_size,hash_mode,num_hashes,filter_size,accuracy,f1_macro,f1_weighted,auc_roc,train_time_s,infer_latency_us,memory_kb
Fridge,binary,Distributive,8,8,murmur,4,64,0.5972963951935915,0.4521770311288505,0.5223839348852037,0.4984702921788705,0.00897,0.8395,0.1
Fridge,binary,Distributive,8,8,murmur,4,256,0.6005507343124166,0.4515085186813004,0.5227014066984688,0.49873597006948156,0.01735,1.6982,0.1
Fridge,binary,Distributive,8,8,murmur,4,1024,0.5972963951935915,0.44484570694179,0.5172840594486968,0.5015801710315339,0.01711,1.6061,0.1
Fridge,binary,Distributive,8,8,murmur,8,16,0.5694259012016022,0.48500708960727934,0.5369250067131035,0.49958762396816914,0.00943,0.8678,0.1
Fridge,binary,Distributive,8,8,murmur,8,64,0.5927903871829105,0.45669097838975703,0.524400320810359,0.49911146742680684,0.00904,0.8447,0.1
Fridge,binary,Distributive,8,8,murmur,8,256,0.595043391188251,0.4526143286570157,0.5221396554348998,0.49896603123700933,0.02068,2.0329,0.1
Fridge,binary,Distributive,8,8,murmur,8,1024,0.6005507343124166,0.4515085186813004,0.5227014066984688,0.4994635815666013,0.01155,0.9698,0.1
Fridge,binary,Distributive,8,8,simhash,2,16,0.5972963951935915,0.44484570694179,0.5172840594486968,0.49766874517489157,0.0253,1.9107,0.1
Fridge,binary,Distributive,8,8,simhash,2,64,0.5716789052069426,0.4854015105053927,0.5378677313713851,0.49720851891442486,0.04897,3.989,0.1
Fridge,binary,Distributive,8,8,simhash,2,256,0.6244993324432577,0.3844257242654613,0.4801472163555929,0.4977724924282914,0.02529,1.9658,0.1
Fridge,binary,Distributive,8,8,simhash,2,1024,0.5749332443257676,0.48595047696934374,0.5392045038027913,0.5024907654848862,0.02549,1.9266,0.1
Fridge,binary,Distributive,8,8,simhash,4,16,0.5148531375166889,0.5012663222865593,0.5217633175578974,0.5044319437021201,0.02567,1.9971,0.1
Fridge,binary,Distributive,8,8,simhash,4,64,0.6244993324432577,0.3844257242654613,0.4801472163555929,0.5010339687629907,0.05012,4.0825,0.1
Fridge,binary,Distributive,8,8,simhash,4,256,0.5943758344459279,0.43994081512188976,0.5131704508541207,0.4942671773858305,0.02443,2.0407,0.1
Fridge,binary,Distributive,8,8,simhash,4,1024,0.6199933244325768,0.394428198504111,0.4864553157820084,0.501330779737514,0.02609,1.9922,0.1
Fridge,binary,Distributive,8,8,simhash,8,16,0.6244993324432577,0.3844257242654613,0.4801472163555929,0.5004165924342301,0.02576,2.025,0.1
Fridge,binary,Distributive,8,8,simhash,8,64,0.5707610146862483,0.49027704835037833,0.5407105123458079,0.5025589702476394,0.07783,5.6936,0.1
Fridge,binary,Distributive,8,8,simhash,8,256,0.5682576769025367,0.49418536677367825,0.5423824390424339,0.5012895065027614,0.02862,2.0668,0.1
Fridge,binary,Distributive,8,8,simhash,8,1024,0.5406375166889186,0.49889000568356284,0.5349046263369255,0.49975265752123055,0.02698,2.0411,0.1
Fridge,binary,Distributive,8,8,h3,2,16,0.5675901201602136,0.4854551916711287,0.5366437101781106,0.4990481620048696,0.00865,0.8261,0.1
Fridge,binary,Distributive,8,8,h3,2,64,0.6244993324432577,0.3844257242654613,0.4801472163555929,0.5,0.00996,0.9187,0.1
Fridge,binary,Distributive,8,8,h3,2,256,0.5988818424566088,0.4507884587137216,0.5218009377573943,0.4976340043945603,0.01721,1.7765,0.1
Fridge,binary,Distributive,8,8,h3,2,1024,0.6005507343124166,0.4515085186813004,0.5227014066984688,0.49371414573311956,0.00991,0.8174,0.1
Fridge,binary,Distributive,8,8,h3,4,16,0.5947930574098799,0.4528421895073819,0.5222362573024432,0.49889850941267294,0.00967,0.8235,0.1
Fridge,binary,Distributive,8,8,h3,4,64,0.56466955941255,0.4767223379346309,0.5301386841365668,0.4948596710018409,0.01103,0.9061,0.1
Fridge,binary,Distributive,8,8,h3,4,256,0.6199933244325768,0.394428198504111,0.4864553157820084,0.4958623433695588,0.01852,1.6971,0.1
Fridge,binary,Distributive,8,8,h3,4,1024,0.6244993324432577,0.3844257242654613,0.4801472163555929,0.50103818516539,0.00941,0.8303,0.1
Fridge,binary,Distributive,8,8,h3,8,16,0.5943758344459279,0.45545322277133793,0.5239391096434636,0.49958340756576997,0.01043,0.9019,0.1
Fridge,binary,Distributive,8,8,h3,8,64,0.590287049399199,0.45720181653981085,0.5241257017525534,0.4978603242472831,0.01782,1.8063,0.1
Fridge,binary,Distributive,8,8,h3,8,256,0.6199933244325768,0.394428198504111,0.4864553157820084,0.4958623433695588,0.01032,0.8994,0.1
Fridge,binary,Distributive,8,8,h3,8,1024,0.5655874499332443,0.4828257614655658,0.5343403376832447,0.49678021260169847,0.01251,0.9344,0.1
Fridge,binary,Distributive,16,4,murmur,2,16,0.5953771695594126,0.4533170486764012,0.5227076855588543,0.5007987707108498,0.01532,1.4321,0.1
Fridge,binary,Distributive,16,4,murmur,2,64,0.5866154873164219,0.4663012159026458,0.5293974875895892,0.49935091157432143,0.04444,4.0219,0.1
Fridge,binary,Distributive,16,4,murmur,2,256,0.5718457943925234,0.48191196303037975,0.5356597204476914,0.4990441831462676,0.01547,1.4431,0.1
Fridge,binary,Distributive,16,4,murmur,2,1024,0.5520694259012016,0.4883889546540825,0.5333327877196935,0.49421358156660133,0.01533,1.4554,0.1
