system,dataset,criterion,hp_id,mean_acc,mean_mem_bytes,mean_train_s,mean_infer_us_per_sample,n_seeds_aggregated
CatBoost,Ionosphere,best_mem_at_iso_acc,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9530516431924884,41229.333333333336,0.1118340416578576,4.046948018872961,3
CatBoost,Ionosphere,best_acc_per_log_mem,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9530516431924884,41229.333333333336,0.1118340416578576,4.046948018872961,3
CatBoost,Ionosphere,best_acc_at_medium_budget,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9530516431924884,41229.333333333336,0.1118340416578576,4.046948018872961,3
CatBoost,Iris,best_acc,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9555555555555556,65120.0,0.03193144395481795,6.7004662317534285,3
CatBoost,Iris,best_mem_at_iso_acc,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 1, ""learning_rate"": 0.03}",0.9533333333333334,64795.2,0.008804791420698167,9.381120714048544,5
CatBoost,Iris,best_acc_per_log_mem,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9555555555555556,65120.0,0.03193144395481795,6.7004662317534285,3
CatBoost,Iris,best_acc_at_medium_budget,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9555555555555556,65120.0,0.03193144395481795,6.7004662317534285,3
CatBoost,Letter Recognition,best_acc,"{""depth"": 8, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9645833333333332,27700168.0,32.10454013866062,1.0119165817741305,3
CatBoost,Letter Recognition,best_mem_at_iso_acc,"{""depth"": 8, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9645833333333332,27700168.0,32.10454013866062,1.0119165817741305,3
CatBoost,Letter Recognition,best_acc_per_log_mem,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.8528333333333333,360672.0,2.196281694651892,0.39197574369609356,3
CatBoost,Magic Gamma,best_acc,"{""depth"": 8, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.8864353312302838,2113229.3333333335,3.25932013860438,0.40348606940477705,3
CatBoost,Magic Gamma,best_mem_at_iso_acc,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.8862600771118121,174338.66666666666,1.1055825276610751,0.3366630830104429,3
CatBoost,Magic Gamma,best_acc_per_log_mem,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.8675955134945671,40770.666666666664,0.12286752734022836,0.2502811188155722,3
CatBoost,Magic Gamma,best_acc_at_medium_budget,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.8675955134945671,40770.666666666664,0.12286752734022836,0.2502811188155722,3
CatBoost,Pendigits,best_acc,"{""depth"": 8, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9910565408519023,11329128.0,14.994596388617841,0.876698959762804,3
CatBoost,Pendigits,best_mem_at_iso_acc,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9889343641048961,751712.0,2.80904061102774,0.664121405699677,3
CatBoost,Pendigits,best_acc_per_log_mem,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9777171441564348,156533.33333333334,0.5858456946443766,0.37421054920139,3
