method,dataset,a,t,bleach,acc_mean,mem_mean,train_mean,infer_mean,n_seeds
F4RM,Breast Cancer,64,8,4,0.36842105263157887,9092.0,0.00053810547105968,2.484491887387999,30
Random,Breast Cancer,64,8,4,0.36842105263157887,9090.833333333334,0.0005163056077435613,2.4973441389176925,30
F4RM,Breast Cancer,2,16,1,0.8830409356725146,8486.666666666666,0.004525094421114773,28.57103977183544,30
Random,Breast Cancer,2,16,1,0.8839181286549708,8412.666666666666,0.004497469519264996,28.395174072554326,30
F4RM,Breast Cancer,2,16,2,0.9298245614035089,8486.666666666666,0.00449028469932576,28.1916788645764,30
Random,Breast Cancer,2,16,2,0.928654970760234,8412.666666666666,0.004479572180813799,28.18431961213985,30
F4RM,Breast Cancer,2,16,3,0.9412280701754387,8486.666666666666,0.004520368141432603,28.612475661146966,30
Random,Breast Cancer,2,16,3,0.9429824561403508,8412.666666666666,0.004471193145339687,28.326487262618905,30
F4RM,Breast Cancer,2,16,4,0.9502923976608187,8486.666666666666,0.004484531904260318,28.352837360120915,30
Random,Breast Cancer,2,16,4,0.9464912280701754,8412.666666666666,0.004488591605331748,28.446150027291733,30
F4RM,Breast Cancer,4,16,1,0.9470760233918128,11589.666666666666,0.002852407086174935,17.124268686540468,30
Random,Breast Cancer,4,16,1,0.9502923976608189,11280.0,0.0028292904491536318,17.11667959894222,30
F4RM,Breast Cancer,4,16,2,0.9529239766081871,11589.666666666666,0.0028846764432576793,17.23513654596581,30
Random,Breast Cancer,4,16,2,0.9564327485380115,11280.0,0.00280930419297268,16.983431404489174,30
F4RM,Breast Cancer,4,16,3,0.9497076023391812,11589.666666666666,0.0028839055720406275,17.180469714932975,30
Random,Breast Cancer,4,16,3,0.9526315789473684,11280.0,0.0028623333317227663,17.450354572614295,30
F4RM,Breast Cancer,4,16,4,0.9514619883040935,11589.666666666666,0.0028558707796037196,17.017349893532213,30
Random,Breast Cancer,4,16,4,0.9523391812865494,11280.0,0.0028169041693521042,17.04545633061326,30
F4RM,Breast Cancer,8,16,1,0.9602339181286549,22307.666666666668,0.0019618749346894523,11.041739203950815,30
Random,Breast Cancer,8,16,1,0.957017543859649,21231.5,0.0019150540349073708,10.969066258508995,30
F4RM,Breast Cancer,8,16,2,0.9555555555555554,22307.666666666668,0.001959595902978132,11.024890332727841,30
Random,Breast Cancer,8,16,2,0.9552631578947367,21231.5,0.0019509306953599055,11.095199979057437,30
F4RM,Breast Cancer,8,16,3,0.953801169590643,22307.666666666668,0.002006530400831252,11.470358531475503,30
Random,Breast Cancer,8,16,3,0.9514619883040933,21231.5,0.0019273916957899928,10.988876640208458,30
F4RM,Breast Cancer,8,16,4,0.9514619883040935,22307.666666666668,0.0019697666983120145,11.01521805762068,30
Random,Breast Cancer,8,16,4,0.9491228070175437,21231.5,0.001935616577975452,10.960123451339484,30
F4RM,Breast Cancer,12,16,1,0.9599415204678361,32318.833333333332,0.0016428331029601396,8.849573065662941,30
Random,Breast Cancer,12,16,1,0.9561403508771927,30538.666666666668,0.0016105888915869096,8.91569240715856,30
F4RM,Breast Cancer,12,16,2,0.9561403508771927,32318.833333333332,0.0016380180371925236,8.945614582864426,30
Random,Breast Cancer,12,16,2,0.9535087719298244,30538.666666666668,0.0016203541153421005,8.797662009958897,30
F4RM,Breast Cancer,12,16,3,0.9549707602339178,32318.833333333332,0.00164638744511952,8.829665807353562,30
Random,Breast Cancer,12,16,3,0.9511695906432748,30538.666666666668,0.0016011776984669267,8.764778017420431,30
F4RM,Breast Cancer,12,16,4,0.9491228070175438,32318.833333333332,0.0016410180639165144,8.816703165505537,30
Random,Breast Cancer,12,16,4,0.9494152046783627,30538.666666666668,0.001606612435231606,9.02206350352114,30
F4RM,Breast Cancer,16,16,1,0.9605263157894736,37892.166666666664,0.0014146040387762089,7.667323391971707,30
