dataset,n_features,n_samples,a,t,K,random_mean,f4rm_mean,paired_delta_mean,paired_delta_ci_half,wilcoxon_p,n_paired,significance
Waveform,40,5000,12,8,100,0.8448333333333332,0.8465333333333335,0.0017000000000000014,0.001919364981194168,0.15509218223147403,30,n.s.
SatImage,36,6430,12,8,1,0.8319854847071022,0.8349922239502334,0.003006739243131155,0.008209750795903342,0.25482046023542504,30,n.s.
SatImage,36,6430,12,8,5,0.8822965266977707,0.8850440642820114,0.002747537584240541,0.0024474582214444557,0.03582909588338904,30,n.s.
SatImage,36,6430,12,8,10,0.8903317781233799,0.8915241057542768,0.0011923276308968426,0.002210129528055743,0.2095359087227162,30,n.s.
SatImage,36,6430,12,8,25,0.8940124416796267,0.8944530844997408,0.0004406428201140418,0.001672264038326328,0.6033989671212141,30,n.s.
SatImage,36,6430,12,8,50,0.8960860549507516,0.8965007776049766,0.0004147226542250045,0.001336964745418117,0.7667232437706986,30,n.s.
SatImage,36,6430,12,8,100,0.8966562986003109,0.8980041472265422,0.0013478486262312147,0.0016774450815312972,0.10146723028318637,30,n.s.
Pendigits,16,10992,13,8,1,0.9596331665908748,0.9678338638775201,0.008200697286645416,0.0031039687567333786,8.891930202787955e-05,30,+++
Pendigits,16,10992,13,8,5,0.987130513869941,0.988631195998181,0.0015006821282400977,0.0007101641377742946,0.0008238134872524367,30,+++
Pendigits,16,10992,13,8,10,0.9888888888888888,0.9896164923450054,0.0007276034561164286,0.0006925219996758994,0.07471006310186426,30,n.s.
Pendigits,16,10992,13,8,25,0.9895558587236624,0.9898893436410489,0.00033348491738669124,0.0005387579720672646,0.20698871881485814,30,n.s.
Pendigits,16,10992,13,8,50,0.9895861755343337,0.9902986205851144,0.0007124450507806561,0.00045964401601950397,0.00994242202747441,30,n.s.
Pendigits,16,10992,13,8,100,0.9898135516143701,0.9903440958011219,0.000530544186751573,0.0003776290412231354,0.008926452250687288,30,n.s.
EEG Eye State,14,14980,13,8,1,0.6996328437917224,0.7393969737427679,0.039764129951045835,0.005777253896729197,1.7333066441991056e-06,30,+++
EEG Eye State,14,14980,13,8,5,0.810280373831776,0.8422229639519361,0.03194259012016022,0.0038253494344162794,1.7278603148724105e-06,30,+++
EEG Eye State,14,14980,13,8,10,0.8452714730752113,0.8716399643969736,0.02636849132176235,0.002619077339786307,1.862645149230957e-09,30,+++
EEG Eye State,14,14980,13,8,25,0.878638184245661,0.8967400979083224,0.018101913662661326,0.002160138999700572,1.7311263949197288e-06,30,+++
EEG Eye State,14,14980,13,8,50,0.8937138406764575,0.9064419225634179,0.012728081886960386,0.0016756230576403775,1.7300371292901247e-06,30,+++
EEG Eye State,14,14980,13,8,100,0.902202937249666,0.9123052959501555,0.010102358700489544,0.0014815384602711239,1.7278603148724105e-06,30,+++
Magic Gamma,10,19020,14,8,1,0.765168243953733,0.7809323519102699,0.01576410795653698,0.0042042529061302415,4.961412273209211e-06,30,+++
Magic Gamma,10,19020,14,8,5,0.8268927444794952,0.8340781633368385,0.007185418857343158,0.0023606849590871453,5.299738640099806e-05,30,+++
Magic Gamma,10,19020,14,8,10,0.840615141955836,0.8459603925692253,0.005345250613389404,0.0020829813105981703,0.00015995061335958647,30,+++
Magic Gamma,10,19020,14,8,25,0.8529968454258674,0.8557395723799509,0.0027427269540834113,0.0018542451448857993,0.007688166227689424,30,n.s.
Magic Gamma,10,19020,14,8,50,0.8579302488608483,0.8593322818086225,0.001402032947774264,0.0015934373723222731,0.07616021919594648,30,n.s.
Magic Gamma,10,19020,14,8,100,0.8612425516999649,0.8623028391167192,0.0010602874167542945,0.0016030125073594604,0.18789681012121207,30,n.s.
Letter Recognition,16,20000,14,8,1,0.8529250000000002,0.8760666666666665,0.02314166666666667,0.0038392391692192635,1.7300371292901247e-06,30,+++
Letter Recognition,16,20000,14,8,5,0.9314250000000001,0.9354999999999998,0.004075000000000007,0.0016933646809027055,0.00028181763004878936,30,+++
Letter Recognition,16,20000,14,8,10,0.9406083333333335,0.9423250000000001,0.0017166666666666626,0.0011830503854694408,0.010365306744685193,30,n.s.
Letter Recognition,16,20000,14,8,25,0.9449833333333333,0.9464833333333335,0.001499999999999994,0.0009207613041990578,0.006639078210505763,30,n.s.
Letter Recognition,16,20000,14,8,50,0.94685,0.9477916666666668,0.0009416666666666629,0.0008802094425960513,0.04315134413703382,30,n.s.
Letter Recognition,16,20000,14,8,100,0.9480166666666668,0.949025,0.0010083333333333333,0.0007457107206733785,0.01101063408024943,30,n.s.
